vreg1	V(vo)
1.495999999999977e+001	3.342755e+000
1.497999999999977e+001	3.342806e+000
1.499999999999977e+001	3.342857e+000
1.501999999999977e+001	3.342909e+000
1.503999999999977e+001	3.342960e+000
1.505999999999976e+001	3.343011e+000
1.507999999999976e+001	3.343062e+000
1.509999999999976e+001	3.343114e+000
1.511999999999976e+001	3.343165e+000
1.513999999999976e+001	3.343216e+000
1.515999999999976e+001	3.343268e+000
1.517999999999976e+001	3.343319e+000
1.519999999999976e+001	3.343370e+000
1.521999999999976e+001	3.343421e+000
1.523999999999976e+001	3.343473e+000
1.525999999999976e+001	3.343524e+000
1.527999999999976e+001	3.343575e+000
1.529999999999976e+001	3.343626e+000
1.531999999999976e+001	3.343678e+000
1.533999999999976e+001	3.343729e+000
1.535999999999976e+001	3.343780e+000
1.537999999999976e+001	3.343831e+000
1.539999999999976e+001	3.343882e+000
1.541999999999976e+001	3.343934e+000
1.543999999999976e+001	3.343985e+000
1.545999999999976e+001	3.344036e+000
1.547999999999976e+001	3.344087e+000
1.549999999999976e+001	3.344138e+000
1.551999999999975e+001	3.344190e+000
1.553999999999975e+001	3.344241e+000
1.555999999999975e+001	3.344292e+000
1.557999999999975e+001	3.344343e+000
1.559999999999975e+001	3.344394e+000
1.561999999999975e+001	3.344445e+000
1.563999999999975e+001	3.344496e+000
1.565999999999975e+001	3.344548e+000
1.567999999999975e+001	3.344599e+000
1.569999999999975e+001	3.344650e+000
1.571999999999975e+001	3.344701e+000
1.573999999999975e+001	3.344752e+000
1.575999999999975e+001	3.344803e+000
1.577999999999975e+001	3.344854e+000
1.579999999999975e+001	3.344905e+000
1.581999999999975e+001	3.344956e+000
1.583999999999975e+001	3.345007e+000
1.585999999999975e+001	3.345059e+000
1.587999999999975e+001	3.345110e+000
1.589999999999975e+001	3.345161e+000
1.591999999999975e+001	3.345212e+000
1.593999999999975e+001	3.345263e+000
1.595999999999975e+001	3.345314e+000
1.597999999999975e+001	3.345365e+000
1.599999999999974e+001	3.345416e+000
1.601999999999974e+001	3.345467e+000
1.603999999999974e+001	3.345518e+000
1.605999999999974e+001	3.345569e+000
1.607999999999974e+001	3.345620e+000
1.609999999999974e+001	3.345671e+000
